time,grav_fast_x,grav_fast_y,grav_fast_z,grav_leveled_x,grav_leveled_y,grav_leveled_z,grav_norm,grav_horiz,tilt_deg
0.300038,-0.082632,9.772509,0.841256,-0.003343,-0.001177,-9.808999,9.809000,0.003544,0.020700
1.299996,-0.082631,9.772510,0.841255,-0.003344,-0.001178,-9.809000,9.809000,0.003545,0.020708
1.499976,-0.081043,9.772486,0.841684,-0.002914,-0.002766,-9.808999,9.809000,0.004017,0.023467
1.799971,-0.084763,9.772649,0.839421,-0.005184,0.000953,-9.808999,9.809000,0.005271,0.030786
1.899976,-0.084137,9.772716,0.838698,-0.005909,0.000327,-9.808998,9.809000,0.005918,0.034571
1.999988,-0.082737,9.772729,0.838688,-0.005920,-0.001073,-9.808998,9.809000,0.006016,0.035143
2.099992,-0.083482,9.772381,0.842664,-0.001929,-0.000327,-9.809000,9.809000,0.001957,0.011428
2.400023,-0.083682,9.772285,0.843751,-0.000838,-0.000126,-9.809000,9.809000,0.000847,0.004950
2.500029,-0.084073,9.772237,0.844268,-0.000319,0.000265,-9.809000,9.809000,0.000415,0.002422
2.600030,-0.083990,9.772226,0.844409,-0.000177,0.000182,-9.809000,9.809000,0.000254,0.001485
2.700026,-0.083620,9.772348,0.843036,-0.001556,-0.000188,-9.809000,9.809000,0.001567,0.009153
2.900001,-0.083707,9.772362,0.842863,-0.001729,-0.000102,-9.809000,9.809000,0.001732,0.010118
2.999999,-0.083474,9.772316,0.843418,-0.001172,-0.000334,-9.809000,9.809000,0.001219,0.007121
3.100004,-0.083719,9.772367,0.842798,-0.001794,-0.000090,-9.808999,9.809000,0.001797,0.010495
3.200006,-0.083571,9.772356,0.842944,-0.001648,-0.000237,-9.809000,9.809000,0.001665,0.009726
3.500001,-0.084177,9.772387,0.842521,-0.002072,0.000368,-9.808999,9.809000,0.002105,0.012295
3.800031,-0.084195,9.772371,0.842713,-0.001880,0.000386,-9.809000,9.809000,0.001919,0.011209
4.000037,-0.084320,9.772355,0.842880,-0.001712,0.000512,-9.809000,9.809000,0.001787,0.010437
4.100029,-0.084173,9.772371,0.842705,-0.001888,0.000364,-9.808999,9.809000,0.001922,0.011230
4.400010,-0.083965,9.772384,0.842582,-0.002011,0.000156,-9.809000,9.809000,0.002017,0.011783
4.499990,-0.084078,9.772381,0.842604,-0.001989,0.000269,-9.809000,9.809000,0.002007,0.011725
4.699956,-0.084233,9.772383,0.842571,-0.002022,0.000424,-9.809000,9.809000,0.002066,0.012069
4.799957,-0.084376,9.772380,0.842582,-0.002011,0.000567,-9.808999,9.809000,0.002090,0.012205
4.899960,-0.084303,9.772378,0.842615,-0.001978,0.000494,-9.809000,9.809000,0.002039,0.011909
4.999966,-0.084431,9.772380,0.842582,-0.002011,0.000622,-9.809000,9.809000,0.002105,0.012297
5.199981,-0.084557,9.772403,0.842305,-0.002289,0.000748,-9.809000,9.809000,0.002408,0.014067
5.299983,-0.084459,9.772419,0.842130,-0.002465,0.000650,-9.809000,9.809000,0.002549,0.014889
5.599972,-0.084166,9.772412,0.842232,-0.002362,0.000357,-9.808999,9.809000,0.002389,0.013956
5.799958,-0.084378,9.772408,0.842259,-0.002335,0.000569,-9.809000,9.809000,0.002404,0.014040
5.899958,-0.084246,9.772389,0.842489,-0.002104,0.000437,-9.808999,9.809000,0.002149,0.012555
5.999975,-0.084268,9.772389,0.842496,-0.002097,0.000459,-9.809000,9.809000,0.002147,0.012542
6.099991,-0.084387,9.772416,0.842164,-0.002431,0.000578,-9.808999,9.809000,0.002498,0.014594
6.300011,-0.084543,9.772403,0.842307,-0.002287,0.000734,-9.809000,9.809000,0.002402,0.014031
6.400014,-0.084556,9.772381,0.842560,-0.002033,0.000747,-9.809000,9.809000,0.002166,0.012653
6.500009,-0.084422,9.772351,0.842912,-0.001680,0.000614,-9.808999,9.809000,0.001788,0.010446
6.599991,-0.084466,9.772363,0.842773,-0.001819,0.000657,-9.809000,9.809000,0.001934,0.011300
6.699973,-0.084491,9.772397,0.842382,-0.002212,0.000682,-9.809000,9.809000,0.002315,0.013520
6.899947,-0.084675,9.772379,0.842566,-0.002027,0.000866,-9.809000,9.809000,0.002204,0.012876
7.199952,-0.084679,9.772390,0.842441,-0.002152,0.000870,-9.809000,9.809000,0.002322,0.013562
7.299960,-0.084547,9.772386,0.842501,-0.002092,0.000738,-9.809000,9.809000,0.002219,0.012960
7.399964,-0.084588,9.772398,0.842360,-0.002234,0.000779,-9.809000,9.809000,0.002366,0.013819
7.599962,-0.084551,9.772395,0.842391,-0.002203,0.000742,-9.808999,9.809000,0.002324,0.013577
7.699959,-0.084561,9.772372,0.842655,-0.001938,0.000752,-9.808999,9.809000,0.002079,0.012142
7.799961,-0.084606,9.772345,0.842971,-0.001621,0.000798,-9.809000,9.809000,0.001806,0.010550
8.099995,-0.084742,9.772365,0.842720,-0.001872,0.000933,-9.809000,9.809000,0.002092,0.012221
8.199995,-0.084754,9.772377,0.842587,-0.002006,0.000945,-9.809000,9.809000,0.002218,0.012953
8.399976,-0.084662,9.772379,0.842566,-0.002027,0.000853,-9.809000,9.809000,0.002199,0.012847
8.699940,-0.084824,9.772379,0.842551,-0.002042,0.001015,-9.809000,9.809000,0.002281,0.013321
8.799940,-0.084842,9.772374,0.842609,-0.001984,0.001033,-9.809000,9.809000,0.002237,0.013066
8.899942,-0.084922,9.772375,0.842587,-0.002006,0.001113,-9.809000,9.809000,0.002294,0.013400
8.999949,-0.084940,9.772379,0.842542,-0.002051,0.001131,-9.809000,9.809000,0.002342,0.013682
9.099952,-0.084645,9.772392,0.842420,-0.002174,0.000836,-9.809000,9.809000,0.002329,0.013604
9.199945,-0.084822,9.772404,0.842263,-0.002331,0.001013,-9.809000,9.809000,0.002542,0.014847
9.399945,-0.084526,9.772364,0.842762,-0.001830,0.000717,-9.809000,9.809000,0.001966,0.011484
9.599949,-0.084352,9.772351,0.842920,-0.001672,0.000544,-9.808999,9.809000,0.001758,0.010268
9.699952,-0.084555,9.772366,0.842735,-0.001857,0.000746,-9.809000,9.809000,0.002002,0.011693
9.799955,-0.084703,9.772368,0.842689,-0.001904,0.000894,-9.809000,9.809000,0.002103,0.012285
9.899954,-0.084821,9.772382,0.842523,-0.002070,0.001012,-9.809000,9.809000,0.002304,0.013461
9.999955,-0.084796,9.772371,0.842654,-0.001939,0.000987,-9.809000,9.809001,0.002176,0.012708
10.299954,-0.084722,9.772381,0.842536,-0.002057,0.000913,-9.808999,9.809000,0.002251,0.013147
10.499964,-0.084631,9.772373,0.842645,-0.001948,0.000822,-9.809000,9.809000,0.002114,0.012350
10.699947,-0.084689,9.772367,0.842705,-0.001887,0.000880,-9.809000,9.809000,0.002083,0.012166
10.799942,-0.084631,9.772361,0.842784,-0.001808,0.000822,-9.809000,9.809000,0.001987,0.011603
11.099939,-0.084709,9.772362,0.842759,-0.001833,0.000900,-9.809000,9.809000,0.002042,0.011930
11.299951,-0.084647,9.772366,0.842717,-0.001875,0.000838,-9.808999,9.809000,0.002054,0.012000
11.399948,-0.084816,9.772374,0.842614,-0.001979,0.001007,-9.809000,9.809000,0.002220,0.012970
11.499943,-0.084723,9.772375,0.842613,-0.001980,0.000914,-9.809000,9.809000,0.002181,0.012738
11.699936,-0.084633,9.772355,0.842850,-0.001742,0.000825,-9.809000,9.809000,0.001927,0.011257
11.799935,-0.084642,9.772350,0.842911,-0.001681,0.000834,-9.809000,9.809000,0.001876,0.010959
11.899943,-0.084719,9.772344,0.842973,-0.001619,0.000911,-9.809000,9.809000,0.001857,0.010847
11.999962,-0.084631,9.772344,0.842975,-0.001616,0.000823,-9.809000,9.809000,0.001814,0.010594
12.199977,-0.084739,9.772347,0.842933,-0.001659,0.000931,-9.809000,9.809000,0.001902,0.011109
12.299955,-0.084610,9.772356,0.842835,-0.001757,0.000802,-9.808999,9.809000,0.001931,0.011280
12.399927,-0.084671,9.772339,0.843033,-0.001558,0.000863,-9.809000,9.809000,0.001781,0.010404
12.499903,-0.084826,9.772346,0.842939,-0.001653,0.001018,-9.809000,9.809000,0.001941,0.011336
12.699889,-0.084884,9.772359,0.842784,-0.001808,0.001075,-9.809000,9.809000,0.002104,0.012289
12.799895,-0.084915,9.772359,0.842772,-0.001820,0.001106,-9.808999,9.809000,0.002130,0.012442
12.899903,-0.084811,9.772357,0.842811,-0.001781,0.001003,-9.809000,9.809000,0.002044,0.011938
12.999908,-0.084655,9.772340,0.843025,-0.001566,0.000847,-9.809000,9.809000,0.001780,0.010400
